ROM Name;Description;Category;Year;Manufacturer;CHD name;Set;P/C;1g1r;exclusion notes
cabalus;Cabal (US set 1, Trackball version);no_catver;1988;Tad (Fabtek license);;cabal;C;0;Clone
cabalus2;Cabal (US set 2, Trackball version);no_catver;1988;Tad (Fabtek license);;cabal;C;0;Clone
cabal;Cabal (World, Joystick version);Shooter / 3rd Person;1988;Tad Corporation;;cabal;P;1;
cabaret;Cabaret;Uncategorized;;IGS;;cabaret;P;1;
cachat;Cachat (Japan);Puzzle / Drop;1993;Taito Corporation;;cachat;P;1;
cadashf;Cadash (France);Platform / Fighter Scrolling;1989;Taito Corporation Japan;;cadash;C;0;Clone
cadashi;Cadash (Italy);Platform / Fighter Scrolling;1989;Taito Corporation Japan;;cadash;C;0;Clone
cadashj;Cadash (Japan);Platform / Fighter Scrolling;1989;Taito Corporation;;cadash;C;0;Clone
cadashu;Cadash (US);Platform / Fighter Scrolling;1989;Taito America Corporation;;cadash;C;0;Clone
cadash;Cadash (World);Platform / Fighter Scrolling;1989;Taito Corporation Japan;;cadash;P;1;
dinou;Cadillacs and Dinosaurs (US 930201);Beat Em Up;1993;Capcom;;dino;C;0;Clone
dino;Cadillacs and Dinosaurs (World 930201);Beat Em Up;1993;Capcom;;dino;P;1;
dinoj;Cadillacs Kyouryuu-Shinseiki (Japan 930201);Beat Em Up;1993;Capcom;;dino;C;0;Clone
calibr50;Caliber 50;Shooter / Walking;1989;Athena / Seta;;calibr50;P;1;
calspeed;California Speed;Driving / Race (chase view);1998;Atari Games;calspeed.chd;calspeed;P;0;Requires CHD
calipso;Calipso;Maze / Shooter Small;1982;[Stern] (Tago license);;calipso;P;1;
cameltrj;Cameltry (Japan);Maze;1989;Taito Corporation;;cameltry;C;0;Clone
cameltry;Cameltry (US);Maze;1989;Taito America Corporation;;cameltry;P;1;
camltrua;Cameltry (US, alt sound);Maze;1989;Taito America Corporation;;cameltry;C;0;Clone
cannball;Cannon Ball;Puzzle / Toss * Mature *;1995;Yun Sung / Soft Vision;;cannball;P;0;Mature
cannonb;Cannon Ball (Crazy Climber hardware);Ball & Paddle / Breakout;1985;Soft;;cannonb;P;1;
candance;Cannon Dancer (Japan);no_catver;1996;Mitchell;;osman;C;0;Clone
canyon;Canyon Bomber;Shooter / Gallery;1977;Atari;;canyon;P;1;
canyonp;Canyon Bomber (prototype);Shooter / Gallery;1977;Atari;;canyon;C;0;Clone
cbasebal;Capcom Baseball (Japan);Sports / Baseball;1989;Capcom;;cbasebal;P;1;
capbowl;Capcom Bowling (set 1);Sports / Bowling;1988;Incredible Technologies;;capbowl;P;1;
capbowl2;Capcom Bowling (set 2);Sports / Bowling;1988;Incredible Technologies;;capbowl;C;0;Clone
cscluba;Capcom Sports Club (Asia 970722);Sports / Multiplay;1997;Capcom;;csclub;C;0;Clone
csclub;Capcom Sports Club (Euro 970722);Sports / Multiplay;1997;Capcom;;csclub;P;1;
csclubh;Capcom Sports Club (Hispanic 970722);Sports / Multiplay;1997;Capcom;;csclub;C;0;Clone
csclubj;Capcom Sports Club (Japan 970722);Sports / Multiplay;1997;Capcom;;csclub;C;0;Clone
cworld;Capcom World (Japan);Quiz / Japanese;1989;Capcom;;cworld;P;0;Quiz
cworld2j;Capcom World 2 (Japan 920611);Quiz / Japanese;1992;Capcom;;cworld2j;P;0;Quiz
capitol;Capitol;Shooter / Gallery;1981;Universal Video Spiel;;pleiads;C;0;Clone
captavna;Captain America and The Avengers (Asia Rev 1.0);Beat Em Up;1991;Data East Corporation;;captaven;C;0;Clone
captaven;Captain America and The Avengers (Asia Rev 1.9);Beat Em Up;1991;Data East Corporation;;captaven;P;0;US Clone Available
captavnj;Captain America and The Avengers (Japan Rev 0.2);Beat Em Up;1991;Data East Corporation;;captaven;C;0;Clone
captavne;Captain America and The Avengers (UK Rev 1.4);Beat Em Up;1991;Data East Corporation;;captaven;C;0;Clone
captavuu;Captain America and The Avengers (US Rev 1.6);Beat Em Up;1991;Data East Corporation;;captaven;C;0;Clone
captavnu;Captain America and The Avengers (US Rev 1.9);Beat Em Up;1991;Data East Corporation;;captaven;C;1;
captcomj;Captain Commando (Japan 911202);Beat Em Up;1991;Capcom;;captcomm;C;0;Clone
captcomu;Captain Commando (US 910928);Beat Em Up;1991;Capcom;;captcomm;C;0;Clone
captcomm;Captain Commando (World 911014);Beat Em Up;1991;Capcom;;captcomm;P;1;
csilver;Captain Silver (Japan);Platform / Fighter Scrolling;1987;Data East Corporation;;csilver;P;1;
ctomaday;Captain Tomaday;Shooter / Flying Vertical;1999;Visco;;ctomaday;P;1;
caractn;Car Action;Driving;1982;bootleg;;brubber;C;0;Clone
carjmbre;Car Jamboree;Driving;1983;Omori Electric Co., Ltd.;;carjmbre;P;1;
carpolo;Car Polo;Sports;1977;Exidy;;carpolo;P;1;
carnevil;CarnEvil;Lightgun;1998;Midway Games;carnevil.chd;carnevil;P;0;Lightgun
carnvckt;Carnival (cocktail);Shooter / Gallery;1980;Sega;;carnival;C;0;Clone
carnival;Carnival (upright);Shooter / Gallery;1980;Sega;;carnival;P;1;
cawingu;Carrier Air Wing (US 901012);Shooter / Flying Horizontal;1990;Capcom;;cawing;C;0;Clone
cawing;Carrier Air Wing (World 901012);Shooter / Flying Horizontal;1990;Capcom;;cawing;P;1;
castfant;Cassette: Astro Fantasia;Shooter / Gallery;1981;DECO;;castfant;P;1;
cbdash;Cassette: Boulder Dash;Maze / Digging;1985;DECO;;cbdash;P;1;
cbnj;Cassette: Bump N Jump;Driving;1982;DECO;;cburnrub;C;0;Clone
cbtime;Cassette: Burger Time;Platform / Run Jump;1983;DECO;;cbtime;P;1;
cburnrub;Cassette: Burnin' Rubber (set 1);Driving;1982;DECO;;cburnrub;P;1;
cburnrb2;Cassette: Burnin' Rubber (set 2);Driving;1982;DECO;;cburnrub;C;0;Clone
cdiscon1;Cassette: Disco No.1;Maze;1982;DECO;;cdiscon1;P;1;
cexplore;Cassette: Explorer;Uncategorized;1982;DECO;;cexplore;P;1;
cfghtice;Cassette: Fighting Ice Hockey;Sports / Hockey;1984;DECO;;cfghtice;P;1;
cflyball;Cassette: Flying Ball[Q];Uncategorized;1985;DECO;;cflyball;P;1;
cgraplop;Cassette: Graplop (aka Cluster Buster) (set 1);Ball & Paddle / Breakout;1983;DECO;;cgraplop;P;1;
cgraplp2;Cassette: Graplop (aka Cluster Buster) (set 2);Uncategorized;1983;DECO;;cgraplop;C;0;Clone
chwy;Cassette: Highway Chase[Q];Uncategorized;1985;DECO;;chwy;P;1;
clocknch;Cassette: Lock'n'Chase;Maze;1981;DECO;;clocknch;P;1;
cluckypo;Cassette: Lucky Poker;Tabletop / Casino;1981;DECO;;cluckypo;P;0;Tabletop / Casino
cmissnx;Cassette: Mission-X;Shooter / Flying Vertical;1982;DECO;;cmissnx;P;1;
cnightst;Cassette: Night Star (set 1);Shooter / Flying Vertical;1983;DECO;;cnightst;P;1;
cnights2;Cassette: Night Star (set 2);Shooter / Flying Vertical;1983;DECO;;cnightst;C;0;Clone
cppicf;Cassette: Peter Pepper's Ice Cream Factory (set 1);Platform / Run Jump;1984;DECO;;cppicf;P;1;
cppicf2;Cassette: Peter Pepper's Ice Cream Factory (set 2);Platform / Run Jump;1984;DECO;;cppicf;C;0;Clone
cprobowl;Cassette: Pro Bowling;Sports / Bowling;1983;DECO;;cprobowl;P;1;
cprogolf;Cassette: Pro Golf;Sports / Golf;1981;DECO;;cprogolf;P;1;
cprosocc;Cassette: Pro Soccer;Sports / Soccer;1983;DECO;;cprosocc;P;1;
cptennis;Cassette: Pro Tennis;Sports / Tennis;1982;DECO;;cptennis;P;1;
clapapa2;Cassette: Rootin' Tootin';Maze;1983;DECO;;clapapa;C;0;Clone
clapapa;Cassette: Rootin' Tootin' (aka La.Pa.Pa);Maze;1983;DECO;;clapapa;P;1;
cscrtry;Cassette: Scrum Try (set 1);Sports / Football Rugby;1984;DECO;;cscrtry;P;1;
cscrtry2;Cassette: Scrum Try (set 2);Sports / Football Rugby;1984;DECO;;cscrtry;C;0;Clone
csuperas;Cassette: Super Astro Fighter;Shooter / Gallery;1981;DECO;;csuperas;P;1;
csweetht;Cassette: Sweet Heart;Maze;1982;DECO;;cdiscon1;C;0;Clone
cterrani;Cassette: Terranean;Shooter / Gallery;1981;DECO;;cterrani;P;1;
ctsttape;Cassette: Test Tape;Misc.;1981;DECO;;ctsttape;P;0;Demo/Test
ctornado;Cassette: Tornado;Shooter / Gallery;1982;DECO;;ctornado;P;1;
ctisland;Cassette: Treasure Island (set 1);Maze;1981;DECO;;ctisland;P;1;
ctislnd2;Cassette: Treasure Island (set 2);Maze;1981;DECO;;ctisland;C;0;Clone
ctislnd3;Cassette: Treasure Island (set 3);Uncategorized;1981;DECO;;ctisland;C;0;Clone
czeroize;Cassette: Zeroize[Q];Uncategorized;1985;DECO;;czeroize;P;1;
catapult;Catapult;Uncategorized;1982;Epos Corporation;;catapult;P;1;
catch22;Catch-22 (version 8.0);Lightgun;1985;Exidy;;combat;C;0;Lightgun
centipdb;Caterpillar (bootleg of Centipede);Shooter / Gallery;1980;bootleg;;centiped;C;0;Clone
cavelon;Cavelon;Maze / Shooter Large;1983;Jetsoft;;cavelon;P;1;
cninjau;Caveman Ninja (US);Platform / Shooter Scrolling;1991;Data East Corporation;;cninja;C;0;Clone
cninja0;Caveman Ninja (World revision 0);Platform / Shooter Scrolling;1991;Data East Corporation;;cninja;C;0;Clone
cninja;Caveman Ninja (World revision 3);Platform / Shooter Scrolling;1991;Data East Corporation;;cninja;P;1;
centipb2;Centipede (bootleg, set 1);Shooter / Gallery;1980;bootleg;;centiped;C;0;Clone
centipd2;Centipede (revision 2);Shooter / Gallery;1980;Atari;;centiped;C;0;Clone
centiped;Centipede (revision 3);Shooter / Gallery;1980;Atari;;centiped;P;1;
centtime;Centipede (revision 4);Shooter / Gallery;1980;Atari;;centiped;C;0;Clone
cerberus;Cerberus;Shooter / Field;1985;Cinematronics;;cerberus;P;1;
chaknpop;Chack'n Pop;Maze;1983;Taito Corporation;;chaknpop;P;1;
chainrec;Chain Reaction (World, Version 2.2);no_catver;1995;Data East Corporation;;chainrec;P;1;
challeng;Challenger;Shooter / Gallery;1981;GamePlan (Centuri license);;challeng;P;1;
chameleo;Chameleon;Platform / Run Jump;1983;Jaleco;;chameleo;P;1;
champbas;Champion Baseball;Sports / Baseball;1983;Sega;;champbas;P;1;
champbbj;Champion Baseball (Japan set 1);Uncategorized;1983;Alpha Denshi Co.;;champbas;C;0;Clone
champbja;Champion Baseball (Japan set 2);Sports / Baseball;1983;Alpha Denshi Co.;;champbas;C;0;Clone
champbb2;Champion Baseball II;Uncategorized;1983;Sega;;champbb2;P;1;
chboxing;Champion Boxing;Sports / Boxing;1984;Sega;;chboxing;P;1;
crgolfc;Champion Golf;Sports / Golf;1984;Nasco Japan;;crgolf;C;0;Clone
crgolfb;Champion Golf (bootleg Set 1);Sports / Golf;1984;Nasco Japan;;crgolf;C;0;Clone
chwrestl;Champion Pro Wrestling;Wrestling;1985;Sega;;chwrestl;P;1;
champwrj;Champion Wrestler (Japan);Wrestling;1989;Taito Corporation;;champwr;C;0;Clone
champwru;Champion Wrestler (US);Wrestling;1989;Taito America Corporation;;champwr;C;0;Clone
champwr;Champion Wrestler (World);Wrestling;1989;Taito Corporation Japan;;champwr;P;1;
csprintf;Championship Sprint (French);Driving / Race Track;1986;Atari Games;;csprint;C;0;Clone
cspring1;Championship Sprint (German, rev 1);Driving / Race Track;1986;Atari Games;;csprint;C;0;Clone
csprintg;Championship Sprint (German, rev 2);Driving / Race Track;1986;Atari Games;;csprint;C;0;Clone
csprint1;Championship Sprint (rev 1);Driving / Race Track;1986;Atari Games;;csprint;C;0;Clone
csprint2;Championship Sprint (rev 2);Driving / Race Track;1986;Atari Games;;csprint;C;0;Clone
csprint;Championship Sprint (rev 3);Driving / Race Track;1986;Atari Games;;csprint;P;1;
csprins1;Championship Sprint (Spanish, rev 1);Driving / Race Track;1986;Atari Games;;csprint;C;0;Clone
csprints;Championship Sprint (Spanish, rev 2);Driving / Race Track;1986;Atari Games;;csprint;C;0;Clone
cairblad;Change Air Blade (Japan);Shooter / Versus;1999;Sammy;;cairblad;P;1;
changes;Changes;Maze;1982;Orca;;changes;P;1;
charlien;Charlie Ninja;no_catver;1995;Mitchell;;charlien;P;1;
chasehqj;Chase H.Q. (Japan);Driving / Race (chase view);1988;Taito Corporation;;chasehq;C;0;Clone
chasehq;Chase H.Q. (World);Driving / Race (chase view);1988;Taito Corporation Japan;;chasehq;P;1;
checkman;Check Man;Maze;1982;Zilec-Zenitone;;checkman;P;1;
checkmaj;Check Man (Japan);Maze;1982;Jaleco;;checkman;C;0;Clone
checkmat;Checkmate;Maze / Surround;1977;Midway;;checkmat;P;1;
cheekyms;Cheeky Mouse;Fighter / Field;;Universal;;cheekyms;P;1;
cheesech;Cheese Chase;Maze;1994;Art and Magic;;cheesech;P;1;
chelnovj;Chelnov - Atomic Runner (Japan);Platform / Shooter Scrolling;1988;Data East Corporation;;chelnov;C;0;Clone
chelnovu;Chelnov - Atomic Runner (US);Platform / Shooter Scrolling;1988;Data East USA;;chelnov;C;0;Clone
chelnov;Chelnov - Atomic Runner (World);Platform / Shooter Scrolling;1988;Data East Corporation;;chelnov;P;1;
chqflag;Chequered Flag;Driving / Race;1988;Konami;;chqflag;P;1;
chqflagj;Chequered Flag (Japan);Driving / Race;1988;Konami;;chqflag;C;0;Clone
cheyenne;Cheyenne (version 1.0);Lightgun;1984;Exidy;;cheyenne;P;0;Lightgun
marukodq;Chibi Marukochan Deluxe Quiz;Quiz / Japanese;1995;Takara;;marukodq;P;0;Quiz
cshift;Chicken Shift;Puzzle;1984;Bally/Sente;;cshift;P;1;
chikij;Chiki Chiki Boys (Japan 900619);Platform / Fighter Scrolling;1990;Capcom;;mtwins;C;0;Clone
chiller;Chiller (version 3.0);Lightgun;1986;Exidy;;chiller;P;0;Lightgun
chimerab;Chimera Beast (prototype);Shooter / Flying Horizontal;1993;Jaleco;;chimerab;P;0;Prototype
chinagat;China Gate (US);Platform / Fighter;1988;[Technos] (Taito Romstar license);;chinagat;P;1;
chinatwn;China Town (Japan);Puzzle / Drop;1991;Data East Corporation;;chinatwn;P;1;
ccasino;Chinese Casino [BET] (Japan);Tabletop / Mahjong * Mature *;1987;V-System Co.;;ccasino;P;0;Mature
chinhero;Chinese Hero;Fighter / Field;1984;Taiyo;;chinhero;P;1;
chinher2;Chinese Hero (older);Fighter / Field;1984;Taiyo;;chinhero;C;0;Clone
7toitsu;Chi-Toitsu;Tabletop / Mahjong * Mature *;1988;Yuga;;mgakuen;C;0;Mature
chokchok;Choky! Choky!;no_catver;1995;SemiCom;;chokchok;P;1;
chplft;Choplifter;Uncategorized;1985;Sega;;chplft;P;1;
chplftb;Choplifter (alternate);Shooter / Flying Horizontal;1985;Sega;;chplft;C;0;Clone
chplftbl;Choplifter (bootleg);Shooter / Flying Horizontal;1985;bootleg;;chplft;C;0;Clone
chopper;Chopper I (US set 1);Shooter / Flying Vertical;1988;SNK;;chopper;P;1;
choppera;Chopper I (US set 2);Shooter / Flying Vertical;1988;SNK;;chopper;C;0;Clone
chopperb;Chopper I (US set 3);Shooter / Flying Vertical;1988;SNK;;chopper;C;0;Clone
ironclad;Choutetsu Brikin'ger - Ironclad (Prototype);no_catver;1996;Saurus;;ironclad;P;0;Prototype
chukataj;Chuka Taisen (Japan);Shooter / Flying Horizontal;1988;Taito Corporation;;chukatai;C;0;Clone
chukatau;Chuka Taisen (US);Shooter / Flying Horizontal;1988;Taito America Corporation;;chukatai;C;0;Clone
chukatai;Chuka Taisen (World);Shooter / Flying Horizontal;1988;Taito Corporation Japan;;chukatai;P;1;
circus;Circus;Ball & Paddle / Breakout;1977;Exidy;;circus;P;1;
circusc;Circus Charlie;Platform / Run Jump Scrolling;1984;Konami;;circusc;P;1;
circuscc;Circus Charlie (Centuri);Platform / Run Jump Scrolling;1984;Konami (Centuri license);;circusc;C;0;Clone
circusce;Circus Charlie (Centuri, earlier);Platform / Run Jump Scrolling;1984;Konami (Centuri license);;circusc;C;0;Clone
circusc2;Circus Charlie (no level select);Platform / Run Jump Scrolling;1984;Konami;;circusc;C;0;Clone
cischeat;Cisco Heat;Driving / Race (chase view);1990;Jaleco;;cischeat;P;1;
citybmrj;City Bomber (Japan);Shooter / Driving Vertical;1987;Konami;;citybomb;C;0;Clone
citybomb;City Bomber (World);Shooter / Driving Vertical;1987;Konami;;citybomb;P;1;
citycon;City Connection (set 1);Platform / Run Jump;1985;Jaleco;;citycon;P;1;
citycona;City Connection (set 2);Platform / Run Jump;1985;Jaleco;;citycon;C;0;Clone
citylove;City Love (Japan 860908);Tabletop / Mahjong * Mature *;1986;Nichibutsu;;citylove;P;0;Mature
clshroad;Clash-Road;Driving / Race Bike;1986;Woodplace Inc.;;clshroad;P;1;
claypign;Clay Pigeon (version 2.0);Lightgun;1986;Exidy;;claypign;P;0;Lightgun
clayshoo;Clay Shoot;Shooter / Gallery;1979;Allied Leisure;;clayshoo;P;0;Lightgun
cleopatr;Cleopatra Fortune (Japan);Puzzle / Drop;1996;Taito Corporation;;cleopatr;P;0;Lightgun
cloakfr;Cloak and Dagger (French);Shooter / Field;1983;Atari;;cloak;C;0;Lightgun
cloakgr;Cloak and Dagger (German);Shooter / Field;1983;Atari;;cloak;C;0;Lightgun
cloak;Cloak and Dagger (rev 5);Shooter / Field;1983;Atari;;cloak;P;0;Lightgun
cloaksp;Cloak and Dagger (Spanish);Shooter / Field;1983;Atari;;cloak;C;0;Lightgun
cloud9;Cloud 9 (prototype);Shooter / Gallery;1983;Atari;;cloud9;P;0;Lightgun
clowns1;Clowns (rev. 1);Ball & Paddle / Breakout;1978;Midway;;clowns;C;0;Lightgun
clowns;Clowns (rev. 2);Ball & Paddle / Breakout;1978;Midway;;clowns;P;0;Lightgun
cltchitr;Clutch Hitter;Uncategorized;;Sega;;cltchitr;P;1;
cobracmj;Cobra-Command (Japan);Shooter / Flying Horizontal;1988;Data East Corporation;;cobracom;C;0;Clone
cobracom;Cobra-Command (World revision 5);Shooter / Flying Horizontal;1988;Data East Corporation;;cobracom;P;1;
colony7;Colony 7 (set 1);Shooter / Command;1981;Taito;;colony7;P;1;
colony7a;Colony 7 (set 2);Shooter / Command;1981;Taito;;colony7;C;0;Clone
columnsj;Columns (Japan);Puzzle / Drop;1990;Sega;;columns;C;0;Clone
columns;Columns (US);Puzzle / Drop;1990;Sega;;columns;P;1;
colmns97;Columns 97;Puzzle / Drop;1996;Sega;;colmns97;P;1;
columns2;Columns II - The Voyage Through Time (Japan);Puzzle / Drop;1990;Sega;;columns2;P;1;
mp_col3;Columns III;no_catver;1993;Sega;;mp_col3;P;0;Console Port
combat;Combat (version 3.0);Lightgun;1985;Exidy;;combat;P;0;Lightgun
combascb;Combat School (bootleg);Sports / Track & Field;1988;bootleg;;combasc;C;0;Lightgun
combascj;Combat School (Japan trackball);Sports / Track & Field;1987;Konami;;combasc;C;0;Lightgun
combasc;Combat School (joystick);Sports / Track & Field;1988;Konami;;combasc;P;0;Lightgun
combasct;Combat School (trackball);Sports / Track & Field;1987;Konami;;combasc;C;0;Lightgun
commsega;Commando (Sega);Shooter / Gallery;1983;Sega;;commsega;P;0;Lightgun
commandu;Commando (US);Shooter / Walking;1985;Capcom (Data East USA license);;commando;C;0;Lightgun
commando;Commando (World);Shooter / Walking;1985;Capcom;;commando;P;0;Lightgun
comotion;Comotion;Maze / Surround;1976;Gremlin;;comotion;P;0;Lightgun
compgolf;Competition Golf Final Round (Japan);Uncategorized;1985;Data East;;compgolf;P;0;Lightgun
complexx;Complex X;Platform / Shooter;1984;Taito America Corporation;;complexx;P;0;Lightgun
condor;Condor;Shooter / Gallery;1981;Sidam;;phoenix;C;0;Clone
congo;Congo Bongo (Rev C, 2 board stack);Platform / Run Jump;1983;Sega;;congo;P;1;
contcrcu;Continental Circus (US);Driving / Race (chase view);1987;Taito America Corporation;;contcirc;C;0;Clone
contcirc;Continental Circus (World);Driving / Race (chase view);1989;Taito Corporation Japan;;contcirc;P;1;
contrajb;Contra (Japan bootleg);Platform / Shooter Scrolling;1987;bootleg;;contra;C;0;Clone
contraj;Contra (Japan);Platform / Shooter Scrolling;1987;Konami;;contra;C;0;Clone
contrab;Contra (US bootleg);Platform / Shooter Scrolling;1987;bootleg;;contra;C;0;Clone
contra;Contra (US);Platform / Shooter Scrolling;1987;Konami;;contra;P;1;
cookrace;Cook Race;Platform / Run Jump;1982;bootleg;;btime;C;0;Clone
cookbib;Cookie & Bibi;no_catver;1995;SemiCom;;cookbib;P;1;
cookbib2;Cookie and Bibi 2;Puzzle / Toss;1996;SemiCom;;cookbib2;P;1;
coolpool;Cool Pool;Uncategorized;1992;Catalina;;coolpool;P;1;
clbowl;Coors Light Bowling;Sports / Bowling;1989;Incredible Technologies;;capbowl;C;0;Clone
cop01;Cop 01 (set 1);Platform / Shooter Scrolling;1985;Nichibutsu;;cop01;P;1;
cop01a;Cop 01 (set 2);Platform / Shooter Scrolling;1985;Nichibutsu;;cop01;C;0;Clone
copsnrob;Cops'n Robbers;Shooter / Versus;1976;Atari;;copsnrob;P;1;
cosmica;Cosmic Alien;Shooter / Gallery;1979;Universal;;cosmica;P;1;
cosmica2;Cosmic Alien (older);Shooter / Gallery;1979;Universal;;cosmica;C;0;Clone
cavenger;Cosmic Avenger;Shooter / Flying Horizontal;1981;Universal;;cavenger;P;1;
cchasm;Cosmic Chasm (set 1);Shooter / Field;1983;Cinematronics / GCE;;cchasm;P;1;
cchasm1;Cosmic Chasm (set 2);Shooter / Field;1983;Cinematronics / GCE;;cchasm;C;0;Clone
cosmccop;Cosmic Cop (World);Shooter / Flying Horizontal;1991;Irem;;cosmccop;P;1;
cosmicg;Cosmic Guerilla;Shooter / Gallery;1979;Universal;;cosmicg;P;1;
cosmicmo;Cosmic Monsters;Shooter / Gallery;1979;Universal;;invaders;C;0;Clone
cosmo;Cosmo;Shooter / Gallery;1979;bootleg;;cosmo;P;0;Bootleg
cgangpzj;Cosmo Gang the Puzzle (Japan);Puzzle / Drop;1992;Namco;;cgangpzl;C;0;Clone
cgangpzl;Cosmo Gang the Puzzle (US);Puzzle / Drop;1992;Namco;;cgangpzl;P;1;
cosmognj;Cosmo Gang the Video (Japan);Shooter / Gallery;1991;Namco;;cosmogng;C;0;Clone
cosmogng;Cosmo Gang the Video (US);Shooter / Gallery;1991;Namco;;cosmogng;P;1;
cosmos;Cosmos;Shooter / Gallery;1981;Century Electronics;;cosmos;P;1;
cottong;Cotocoto Cottong;Puzzle / Sliding;1982;bootleg;;locomotn;C;0;Clone
cottona;Cotton;Shooter / Flying Horizontal;;Sega;;cotton;C;0;Clone
cotton;Cotton (Japan);Uncategorized;;Sega;;cotton;P;1;
cotton2;Cotton 2;Shooter / Flying Horizontal;1997;Success;;cotton2;P;1;
cottonbm;Cotton Boomerang;Shooter / Flying Horizontal;1998;Success;;cottonbm;P;1;
countrun;Counter Run;Uncategorized;1988;Nihon System (Sega license);;countrun;P;1;
countrnb;Counter Run (bootleg set 1);Uncategorized;1988;bootleg;;countrun;C;0;Clone
countrb2;Counter Run (bootleg set 2);no_catver;1988;bootleg;;countrun;C;0;Clone
countryc;Country Club;Sports / Golf;1988;SNK;;fitegolf;C;0;Clone
crkdown;Crackdown;Uncategorized;;Sega;;crkdown;P;1;
cracksht;Crackshot (version 2.0);Lightgun;1985;Exidy;;cracksht;P;0;Lightgun
crash;Crash;Maze / Driving;1979;Exidy;;crash;P;1;
crater;Crater Raider;Shooter / Driving;1984;Bally Midway;;crater;P;1;
qcrayon2;Crayon Shinchan Orato Asobo (Japan);Quiz / Japanese;1993;Taito Corporation;;qcrayon2;P;0;Quiz
crbaloon;Crazy Balloon (set 1);Maze;1980;Taito Corporation;;crbaloon;P;1;
crbalon2;Crazy Balloon (set 2);Maze;1980;Taito Corporation;;crbaloon;C;0;Clone
crazyblk;Crazy Blocks;Maze;1983;Kiwako (ECI license);;mrjong;C;0;Clone
ccboot;Crazy Climber (bootleg set 1);Climbing;1980;bootleg;;cclimber;C;0;Clone
ccboot2;Crazy Climber (bootleg set 2);Climbing;1980;bootleg;;cclimber;C;0;Clone
cclimbrj;Crazy Climber (Japan);Climbing;1980;Nichibutsu;;cclimber;C;0;Clone
cclimber;Crazy Climber (US);Climbing;1980;Nichibutsu;;cclimber;P;1;
cclimbr2;Crazy Climber 2 (Japan);Climbing;1988;Nichibutsu;;cclimbr2;P;1;
crazycop;Crazy Cop (Japan);Shooter / Walking;1988;Konami;;gbusters;C;0;Clone
ckongalc;Crazy Kong (Alca bootleg);Platform / Run Jump;1981;bootleg;;ckong;C;0;Clone
ckongjeu;Crazy Kong (Jeutel bootleg);Platform / Run Jump;1981;bootleg;;ckong;C;0;Clone
ckongo;Crazy Kong (Orca bootleg);Platform / Run Jump;1981;bootleg;;ckong;C;0;Clone
ckongs;Crazy Kong (Scramble hardware);Platform / Run Jump;1981;bootleg;;ckong;C;0;Clone
ckong;Crazy Kong (set 1);Platform / Run Jump;1981;Falcon;;ckong;P;1;
ckonga;Crazy Kong (set 2);Platform / Run Jump;1981;Falcon;;ckong;C;0;Clone
crzrally;Crazy Rally;Driving / Race;1985;Tecfri;;crzrally;P;1;
crimecj;Crime City (Japan);Platform / Shooter Scrolling;1989;Taito Corporation;;crimec;C;0;Clone
crimecu;Crime City (US);Platform / Shooter Scrolling;1989;Taito America Corporation;;crimec;C;0;Clone
crimec;Crime City (World);Platform / Shooter Scrolling;1989;Taito Corporation Japan;;crimec;P;1;
crimfgtj;Crime Fighters (Japan 2 Players);Beat Em Up;1989;Konami;;crimfght;C;0;Clone
crimfght;Crime Fighters (US 4 players);Beat Em Up;1989;Konami;;crimfght;P;0;Player Select Clone Available
crimfgt2;Crime Fighters (World 2 Players);Beat Em Up;1989;Konami;;crimfght;C;1;
vendettj;Crime Fighters 2 (Japan 2 Players ver. P);Beat Em Up;1991;Konami;;vendetta;C;0;Clone
croquis;Croquis (Germany);Puzzle;1996;Deniam;;logicpro;C;0;Clone
crospang;Cross Pang;Puzzle;1998;F2 System;;crospang;P;1;
cshootre;Cross Shooter (encrypted);Uncategorized;1987;[Seibu Kaihatsu] (J.K.H. license);;cshooter;C;0;Clone
cshooter;Cross Shooter (not encrypted);Uncategorized;1987;[Seibu Kaihatsu] (Taito license);;cshooter;P;1;
crossbow;Crossbow (version 2.0);Lightgun;1983;Exidy;;crossbow;P;0;Lightgun
crsword;Crossed Swords;Fighter / Misc.;1991;Alpha Denshi Co.;;crsword;P;1;
crswd2bl;Crossed Swords 2;no_catver;1996;bootleg;;crswd2bl;P;0;Bootleg
crgolf;Crowns Golf (set 1);Sports / Golf;1984;Nasco Japan;;crgolf;P;1;
crgolfa;Crowns Golf (set 2);Sports / Golf;1984;Nasco Japan;;crgolf;C;0;Clone
cbusterj;Crude Buster (Japan);Platform / Fighter Scrolling;1990;Data East Corporation;;cbuster;C;0;Clone
cbusterw;Crude Buster (World FU version);Platform / Fighter Scrolling;1990;Data East Corporation;;cbuster;C;0;Clone
cbuster;Crude Buster (World FX version);Platform / Fighter Scrolling;1990;Data East Corporation;;cbuster;P;1;
cruisin;Cruisin;Platform / Run Jump;1985;Jaleco (Kitkorp license);;citycon;C;0;Clone
crusnu21;Cruis'n USA (rev L2.1);Driving / Race (chase view);1994;Midway;;crusnusa;C;0;Clone
crusnu40;Cruis'n USA (rev L4.0);Driving / Race (chase view);1994;Midway;;crusnusa;C;0;Clone
crusnusa;Cruis'n USA (rev L4.1);Driving / Race (chase view);1994;Midway;;crusnusa;P;1;
